CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
VfB Stuttgart,23,"25,0",5,-,-,1989
Borussia Mönchengladbach,31,"24,8",6,-,-,1989
VfL Bochum,27,"24,6",3,-,-,1989
Eintracht Frankfurt,24,"26,0",3,-,-,1989
SV Waldhof Mannheim,26,"25,0",3,-,-,1989
FC Bayern München,28,"24,3",4,-,-,1990
SV Werder Bremen,22,"26,6",3,-,-,1990
1.FC Kaiserslautern,27,"25,5",5,-,-,1990
FC St. Pauli,25,"26,4",4,-,-,1990
Bayer 05 Uerdingen,26,"25,2",4,-,-,1990
1.FC Köln,24,"25,4",4,-,-,1990
Fortuna Düsseldorf,25,"25,2",5,-,-,1990
SG Wattenscheid 09,23,"25,5",3,-,-,1990
1.FC Nürnberg,26,"25,5",3,-,-,1990
Hamburger SV,24,"25,7",4,-,-,1990
Bayer 04 Leverkusen,23,"25,3",4,-,-,1990
Hertha BSC,26,"26,3",3,-,-,1990
Borussia Dortmund,26,"24,7",3,-,-,1990
Karlsruher SC,27,"25,0",2,-,-,1990
Borussia Mönchengladbach,26,"24,5",3,-,-,1990
VfB Stuttgart,24,"24,9",3,-,-,1990
Eintracht Frankfurt,29,"26,2",5,-,-,1990
VfL Bochum,26,"25,1",3,-,-,1990
FC Bayern München,29,"25,5",5,-,-,1991
VfB Stuttgart,25,"24,9",3,-,-,1991
1.FC Kaiserslautern,25,"26,2",5,-,-,1991
FC Hansa Rostock,27,"25,6",3,-,-,1991
VfL Bochum,27,"25,4",4,-,-,1991
1.FC Köln,28,"24,8",4,-,-,1991
FC Schalke 04,28,"25,3",3,-,-,1991
SV Werder Bremen,29,"26,2",4,-,-,1991
1.FC Nürnberg,27,"25,3",2,-,-,1991
